County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Ouachita Parish,Louisiana,9.3,0.34
Calhoun County,Illinois,7.1,0.34
Houston County,Minnesota,6.8,0.34
Tuscaloosa County,Alabama,12.5,0.34
Wayne County,West Virginia,11.3,0.35
Botetourt County,Virginia,7.2,0.35
Tyler County,West Virginia,10.1,0.35
Grenada County,Mississippi,9.1,0.35
Greene County,Mississippi,10.1,0.35
Estill County,Kentucky,7.4,0.35
Coshocton County,Ohio,9.6,0.35
Panola County,Mississippi,10.7,0.35
Anderson County,Kentucky,7.5,0.35
Herkimer County,New York,8.3,0.35
Albany County,New York,9,0.35
Allen County,Kentucky,8.6,0.35
Lowndes County,Alabama,9.5,0.35
Union County,Kentucky,7.6,0.35
Boone County,Nebraska,7.2,0.35
Atchison County,Missouri,7.1,0.35
Ste. Genevieve County,Missouri,8,0.35
St. Johns County,Florida,No Data,0.35
Lewis County,Kentucky,8.4,0.35
Caldwell County,Kentucky,9.1,0.35
Dubois County,Indiana,8.6,0.35
Towns County,Georgia,7.9,0.35
Montgomery County,Kentucky,9.2,0.35
Clay County,Georgia,8.6,0.35
Harrison County,Iowa,7.8,0.35
Madison County,Illinois,8.8,0.35
Leon County,Florida,No Data,0.35
Sarasota County,Florida,No Data,0.35
Bibb County,Georgia,12.2,0.35
Mclean County,Illinois,8.2,0.35
Miami-Dade County,Florida,No Data,0.35
Itawamba County,Mississippi,11.5,0.35
Norton City,Virginia,7.5,0.36
Gibson County,Tennessee,10.6,0.36
Shelby County,Tennessee,12,0.36
Lamoille County,Vermont,7.3,0.36
Goochland County,Virginia,8.1,0.36
Clay County,West Virginia,8.5,0.36
Ashtabula County,Ohio,9,0.36
Northumberland County,Pennsylvania,7.6,0.36
Georgetown County,South Carolina,9.4,0.36
Carroll County,Ohio,9.2,0.36
Orleans Parish,Louisiana,10.3,0.36
Warren County,Mississippi,11,0.36
Worth County,Missouri,6.8,0.36
Hardin County,Ohio,7.9,0.36
Logan County,Ohio,9,0.36
Licking County,Ohio,11.8,0.36
Burlington County,New Jersey,8.7,0.36
Erie County,Ohio,8,0.36
Lyon County,Kentucky,8.6,0.36
Morris County,New Jersey,6.6,0.36
Dekalb County,Indiana,8.5,0.36
New Madrid County,Missouri,11.5,0.36
Franklin Parish,Louisiana,7.8,0.36
Washington County,Iowa,7.2,0.36
Boyd County,Kentucky,9.9,0.36
Macon County,Missouri,7.9,0.36
Union County,Indiana,7.2,0.36
Bell County,Kentucky,8.9,0.36
Keokuk County,Iowa,6.8,0.36
Haralson County,Georgia,8.1,0.36
Tazewell County,Illinois,7.2,0.36
Lee County,Iowa,9.7,0.36
Blackford County,Indiana,8.6,0.36
Lee County,Georgia,10.7,0.36
Lee County,Alabama,8.8,0.36
Benton County,Indiana,6.9,0.36
Lamar County,Georgia,8.2,0.36
Coles County,Illinois,7.5,0.36
Taylor County,Georgia,9.9,0.36
Carroll County,Virginia,8.6,0.37
Pittsylvania County,Virginia,12.6,0.37
Richland County,South Carolina,11.2,0.37
Union County,South Carolina,10.8,0.37
Obion County,Tennessee,9,0.37
Knox County,Tennessee,11.6,0.37
Columbia County,New York,8.9,0.37
Perry County,Ohio,9.1,0.37
Schuyler County,New York,10.9,0.37
Putnam County,Ohio,8.6,0.37
Ross County,Ohio,10.6,0.37
Simpson County,Mississippi,8.6,0.37
Shelby County,Missouri,6.9,0.37
Fulton County,Pennsylvania,7.1,0.37
Montgomery County,Missouri,7.8,0.37
Dallas County,Iowa,7.4,0.37
Carroll County,Missouri,9.5,0.37
Sunflower County,Mississippi,13.4,0.37
Baldwin County,Georgia,9.7,0.37
Rensselaer County,New York,9,0.37
Richland Parish,Louisiana,8.8,0.37
Sullivan County,Indiana,9.4,0.37
Pulaski County,Kentucky,10.8,0.37
Jennings County,Indiana,9.3,0.37
Schoharie County,New York,8.6,0.37
Pike County,Indiana,8.3,0.37
Henderson County,Illinois,7.1,0.37
Shelby County,Indiana,10,0.37
Morgan County,Indiana,13.3,0.37
Scott County,Iowa,9,0.37
Hancock County,Indiana,8.4,0.37
Dougherty County,Georgia,13,0.37
Jones County,Georgia,9.4,0.37
Perry County,Alabama,11,0.37
White County,Illinois,7.2,0.37
Chatham County,Georgia,9.8,0.37
Harford County,Maryland,9.8,0.37
Johnson County,Iowa,6.9,0.37
De Witt County,Illinois,7,0.37
Henrico County,Virginia,10.8,0.38
Noble County,Ohio,8.7,0.38
Highland County,Ohio,9.7,0.38
Alleghany County,Virginia,9.4,0.38
Mckean County,Pennsylvania,6.9,0.38
Anderson County,South Carolina,11.1,0.38
Ontario County,New York,7.3,0.38
Chemung County,New York,10,0.38
Owsley County,Kentucky,8.2,0.38
